"dataset","core_id","issues","message"
"vs.xpt","CORE-000529",89051,"VSDY is not calculated correctly even though the date portion of VSDTC is complete, the date portion of RFSTDTC is complete, and VSDY is not empty."
"lb.xpt","CORE-000529",68131,"LBDY is not calculated correctly even though the date portion of LBDTC is complete, the date portion of RFSTDTC is complete, and LBDY is not empty."
"ex.xpt","CORE-000553",29131,"EXENDY is not calculated correctly even though the date portion of EXENDTC is complete and the date portion of RFSTDTC is complete."
"sv.xpt","CORE-000553",19735,"SVENDY is not calculated correctly even though the date portion of SVENDTC is complete and the date portion of RFSTDTC is complete."
"lb.xpt","CORE-000354",18635,"The date portion of LBDTC or RFSTDTC is incomplete, but LBDY is not empty."
"oe.xpt","CORE-000529",17128,"OEDY is not calculated correctly even though the date portion of OEDTC is complete, the date portion of RFSTDTC is complete, and OEDY is not empty."
"ex.xpt","CORE-002033",15827,"EXENDTC does not fall on or between RFXSTDTC and RFXENDTC."
"ex.xpt","CORE-002032",15625,"EXSTDTC does not fall on or between RFXSTDTC and RFXENDTC."
"ft.xpt","CORE-000529",15469,"FTDY is not calculated correctly even though the date portion of FTDTC is complete, the date portion of RFSTDTC is complete, and FTDY is not empty."
"vs.xpt","CORE-000354",11724,"The date portion of VSDTC or RFSTDTC is incomplete, but VSDY is not empty."
"ec.xpt","CORE-000553",11536,"ECENDY is not calculated correctly even though the date portion of ECENDTC is complete and the date portion of RFSTDTC is complete."
"sv.xpt","CORE-000138",8390,"SVSTDY is populated but either SVSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"ex.xpt","CORE-000139",8243,"EXENDY is populated but either EXENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"ex.xpt","CORE-000138",8095,"EXSTDY is populated but either EXSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"ae.xpt","CORE-000138",7498,"AESTDY is populated but either AESTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"ae.xpt","CORE-000184",6815,"AEBDSYCD and AEBODSYS do not have a one-to-one relationship."
"ae.xpt","CORE-000201",6552,"USUBJID value is missing in the DM dataset."
"sv.xpt","CORE-000040",5834,"VISITNUM for unplanned visit matches a VISITNUM value in the TV dataset."
"sv.xpt","CORE-000035",5749,"Visit is unplanned but VISITDY is populated."
"sv.xpt","CORE-000249",5108,"VISITDY does not match the VISITDY in the TV dataset for the corresponding VISITNUM."
"sv.xpt","CORE-000201",4700,"USUBJID value is missing in the DM dataset."
"ae.xpt","CORE-002037",4635,"AEDECOD is not consistent for records with identical AETERM values."
"sv.xpt","CORE-000139",4483,"SVENDY is populated but either SVENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"fa.xpt","CORE-000529",4265,"FADY is not calculated correctly even though the date portion of FADTC is complete, the date portion of RFSTDTC is complete, and FADY is not empty."
"ae.xpt","CORE-000268",4065,"AEDECOD and AEPTCD do not have a one-to-one relationship."
"ec.xpt","CORE-000139",3464,"ECENDY is populated but either ECENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"ec.xpt","CORE-000138",3464,"ECSTDY is populated but either ECSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"ds.xpt","CORE-000354",3244,"The date portion of DSDTC or RFSTDTC is incomplete, but DSDY is not empty."
"ft.xpt","CORE-000354",2777,"The date portion of FTDTC or RFSTDTC is incomplete, but FTDY is not empty."
